toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
AFG1,Aflatoxin G1,Songkhla,13,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Suphan Buri,4,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Surin,37,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Takhmao,3,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Ubon Ratchathani,43,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Yala,4,0,0.0,0.0,0.0
AFG1,Aflatoxin G1,Yasothon,20,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Unspecified area,48,1,0.020833,0.56,0.56
AFG2,Aflatoxin G2,Amnart Charoen,15,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Bangkok,1,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Chaiyaphum,1,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Chiang Mai,86,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Chiang Rai,21,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Kalasin,2,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Kampong Thom,2,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Kampot,1,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Lampang,21,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Mahasarakham,10,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Mukdahan,15,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Nakhon Pathom,32,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Narathiwat,18,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Pathum Thani,6,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Pha Yao,17,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Phayao,6,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Phichit,2,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Phnom Phen,4,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Roi Et,53,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Si Sa Ket,23,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Siem Reap,4,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Songkhla,13,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Suphan Buri,4,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Surin,37,0,0.0,0.0,0.0
